,auctionID_lot,1,2,n,loc,cat0,cat1,low_rel_high,final_price,high_estimate,num_bids
2188,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_121,1.1695,1.1493333333333333,9,new york,art,impressionist/20th/21st century art,0.6666666666666666,2850000.0,3000000.0,10
2189,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_125,1.1088888888888888,0.7727777777777778,2,new york,art,impressionist/20th/21st century art,0.6666666666666666,1600000.0,1800000.0,2
2190,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_127,1.349375,1.3096875,2,new york,art,impressionist/20th/21st century art,0.75,850000.0,800000.0,9
2191,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_128,1.71375,1.6633333333333333,4,new york,art,impressionist/20th/21st century art,0.6666666666666666,1650000.0,1200000.0,16
2192,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_13,2.953575,2.92485,9,new york,art,impressionist/20th/21st century art,0.75,4850000.0,2000000.0,17
2193,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_14,,,2,new york,art,impressionist/20th/21st century art,,7800000.0,,2
2194,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_16,2.7975,2.64625,4,new york,art,impressionist/20th/21st century art,0.75,1800000.0,800000.0,12
2195,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_17,0.7763333333333333,0.736,2,new york,art,impressionist/20th/21st century art,0.6666666666666666,3800000.0,6000000.0,2
2196,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_18,1.8733,1.7946666666666666,9,new york,art,impressionist/20th/21st century art,0.6666666666666666,4600000.0,3000000.0,20
2197,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_22,2.54,2.413,4,new york,art,impressionist/20th/21st century art,0.75,400000.0,200000.0,17
2198,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_23,1.9957142857142858,1.8142857142857143,2,new york,art,impressionist/20th/21st century art,0.7142857142857143,550000.0,350000.0,8
2199,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_24,7.62,7.257142857142857,3,new york,art,impressionist/20th/21st century art,0.7142857142857143,420000.0,70000.0,9
2200,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_5,11.43,11.1125,8,new york,art,impressionist/20th/21st century art,0.75,720000.0,80000.0,29
2201,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_7,2.2225,2.06375,3,new york,art,impressionist/20th/21st century art,0.75,700000.0,400000.0,7
2202,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_8,2.032,1.905,3,new york,art,impressionist/20th/21st century art,0.6,800000.0,500000.0,11
2203,s3_06_the-now-evening-auction-2?locale=en_contemporary-art-evening-sale-2_9,1.225,1.19475,5,new york,art,impressionist/20th/21st century art,0.75,4000000.0,4000000.0,6
2204,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_1,2.4553333333333334,2.328333333333333,6,new york,art,impressionist/20th/21st century art,0.6666666666666666,580000.0,300000.0,15
2205,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_10,1.4514285714285715,1.3788571428571428,5,new york,art,impressionist/20th/21st century art,0.7142857142857143,400000.0,350000.0,10
2206,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_103,1.603,1.57275,4,new york,art,impressionist/20th/21st century art,0.75,2600000.0,2000000.0,11
2207,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_104,2.9633333333333334,2.8786666666666667,3,new york,art,impressionist/20th/21st century art,0.6666666666666666,700000.0,300000.0,21
2208,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_105,1.27,1.1853333333333333,2,new york,art,impressionist/20th/21st century art,0.6666666666666666,300000.0,300000.0,5
2209,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_106,1.0416666666666667,0.9744444444444444,2,new york,art,impressionist/20th/21st century art,0.6666666666666666,1500000.0,1800000.0,3
2210,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_108,0.8701125,0.8126625,3,new york,art,impressionist/20th/21st century art,0.75,30000000.0,40000000.0,3
2211,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_11,0.7561666666666667,0.736,4,new york,art,impressionist/20th/21st century art,0.6666666666666666,3700000.0,6000000.0,5
2212,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_111,0.9436,0.9194,3,new york,art,impressionist/20th/21st century art,0.72,1900000.0,2500000.0,7
2213,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_112,1.4316666666666666,1.3913333333333333,5,new york,art,impressionist/20th/21st century art,0.6666666666666666,3500000.0,3000000.0,16
2214,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_115,0.983,0.95275,4,new york,art,impressionist/20th/21st century art,0.75,3200000.0,4000000.0,5
2215,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_116,0.95275,0.937625,2,new york,art,impressionist/20th/21st century art,0.75,3100000.0,4000000.0,3
2216,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_117,1.2617142857142858,1.2444285714285714,2,new york,art,impressionist/20th/21st century art,0.7142857142857143,3600000.0,3500000.0,11
2217,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_118,1.0686666666666667,1.0283333333333333,2,new york,art,impressionist/20th/21st century art,0.6666666666666666,2600000.0,3000000.0,9
2218,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_119,12.391125,1.71375,4,new york,art,impressionist/20th/21st century art,0.75,12650000.0,1200000.0,13
2219,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_12,1.3441666666666667,1.3105555555555555,8,new york,art,impressionist/20th/21st century art,0.6666666666666666,1950000.0,1800000.0,21
2220,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_122,1.037,1.0197142857142858,2,new york,art,impressionist/20th/21st century art,0.7142857142857143,2950000.0,3500000.0,8
2221,s3_07_the-now-evening-auction-5?locale=en_contemporary-evening-auction-5_123,1.4276,1.234,2,new york,art,impressionist/20th/21st century art,0.72,2900000.0,2500000.0,6
